Erosion_Value1N,Erosion_Value2N,Erosion_Value3N,Erosion_Value4N
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.012265727
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.012265727
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265846
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.012265727
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.012265727
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265846
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082163,-0.012265727
0.1143346,0.045373946,0.13082163,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082157,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
0.1143346,0.045373946,0.13082151,-0.0122657865
